trial_id,learn_rate,max_tree_depth,l1_reg,l2_reg,mae
8,0.2,8,1e-14,0.00033459993780136308,0.27903136460010042
4,0.2,8,1e-14,4.9999999999999849,0.27907436092979959
5,0.2,8,1.0512593458852344e-12,4.9999999999999849,0.27907436092979959
10,0.2,8,2.5379492963592224e-10,9.9499073947297544e-09,0.27910811819652848
9,0.16180594032915371,8,4.3277133587636014e-07,4.9713018554750041,0.28049410050803386
6,0.2,7,5.2258632802468031e-11,4.9999999999999849,0.28109426679445682
7,0.14832365967675698,8,1.5935168180119915e-14,4.9999999999999849,0.28125669835529721
1,0.2,6,1e-14,1.0000000000000013,0.28333583984088317
3,0.16880480278018156,6,1.3924088001692504e-11,0.00053305680894653222,0.2848249957463172
2,0.15990032231456427,4,1.0572964007968571e-11,0.0034692103884736334,0.29152043348998924
